iter	Logloss
0	0.688414195611	0.683879313922	0.68003045353	0.6765927312444	0.67338285155	0.6701482651
6	0.6668747492
7	0.6638313449
8	0.6611596662999	0.65910013410	0.6560596946
11	0.6538102699
12	0.6517980023
13	0.6496780422
14	0.647697875
15	0.6458409898
16	0.6439402837
17	0.6423406746
18	0.6407051416
19	0.6392122568
20	0.6377855563
21	0.636465616322	0.6336208796
23	0.6322658792
24	024	0.633761225	025	0.632672926	026	0.631629827	027	0.6306449028	0.6285337106
29	0.6275663712
30	30	0.627955523131	0.6271649481
32	0.6263668997
33	0.6256542541
34	0.6249491529
35	0.6242221536	36	0.6235350177
37	0.6228762394
38	0.622250639	0.6205635494440	040	0.621057441	0.6193926648442	0.6188850595
43	043	0.619652444	0.6179563321
45	0.6174946023
46	0.6170426358
47	0.6165601221
48	0.6161550993
49	0.6157059714
50	0.6153260514
51	0.6148947431
52	0.6145197274
53	0.6142197856
54	0.6138335363
55	0.6134769738
56	0.6131410186
57	0.6128781533
58	0.6125425662
59	0.6122287198
60	0.6119375061	61	0.611606062	062	0.611324563	063	0.611018664	064	0.610823965	065	0.610556766	066	0.610312767	67	0.610047686868	0.6098259636969	0.6096066077070	0.6093817047171	0.6091608437272	0.6089657547373	0.608736174	074	0.608575075	075	0.608407276	0.606342806
77	0.6061335451
78	0.78	0.6078548223
79	0.60767980	0.80	0.60750481	0.81	0.60732282	0.82	0.60715983	0.83	0.60699984	0.84	0.60684585	0.6046965634
86	0.6045041347
87	0.6043594747
88	0.6041941662
89	0.6040097155
90	0.6038752334
91	0.6037366022
92	0.6036014283
93	0.6034509544
94	0.6032990462
95	0.6031597644
96	0.6030612818
97	097	0.604976098	098	0.604824199	099	0.6046954437
100	0.6045120041
101	0.6043900016
102	0.6042681438
103	0.6041278327
104	0.6040100468
105	0.603871106	0.6017456252
107	0.6016466882
108	0.6015249366
109	0.6014082925
110	0.6012468895
111	0.6011472964
112	0.6010220218
113	0113	0.6027675234
114	0.6026195104
115	0.6025248874
116	0.6023952069
117	0.6022720367
118	0.6021451809
119	0.6020268585
120	0.6019182841
